fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
7.7,0.54,0.26,1.9,0.089,23,147,0.99636,3.26,0.59,9.7,5
6.4,0.31,0.09,1.4,0.066,15,28,0.99459,3.42,0.7,10,7
7,0.43,0.02,1.9,0.08,15,28,0.99492,3.35,0.81,10.6,6
7.7,0.54,0.26,1.9,0.089,23,147,0.99636,3.26,0.59,9.7,5
6.9,0.74,0.03,2.3,0.054,7,16,0.99508,3.45,0.63,11.5,6
6.6,0.895,0.04,2.3,0.068,7,13,0.99582,3.53,0.58,10.8,6
6.9,0.74,0.03,2.3,0.054,7,16,0.99508,3.45,0.63,11.5,6
7.5,0.725,0.04,1.5,0.076,8,15,0.99508,3.26,0.53,9.6,5
7.8,0.82,0.29,4.3,0.083,21,64,0.99642,3.16,0.53,9.4,5
7.3,0.585,0.18,2.4,0.078,15,60,0.99638,3.31,0.54,9.8,5
6.2,0.44,0.39,2.5,0.077,6,14,0.99555,3.51,0.69,11,6
7.5,0.38,0.57,2.3,0.106,5,12,0.99605,3.36,0.55,11.4,6
6.7,0.76,0.02,1.8,0.078,6,12,0.996,3.55,0.63,9.95,3
6.8,0.81,0.05,2,0.07,6,14,0.99562,3.51,0.66,10.8,6
7.5,0.38,0.57,2.3,0.106,5,12,0.99605,3.36,0.55,11.4,6
7.1,0.27,0.6,2.1,0.074,17,25,0.99814,3.38,0.72,10.6,6
7.9,0.18,0.4,1.8,0.062,7,20,0.9941,3.28,0.7,11.1,5
6.4,0.36,0.21,2.2,0.047,26,48,0.99661,3.47,0.77,9.7,6
7.1,0.69,0.04,2.1,0.068,19,27,0.99712,3.44,0.67,9.8,5
6.4,0.79,0.04,2.2,0.061,11,17,0.99588,3.53,0.65,10.4,6
6.4,0.56,0.15,1.8,0.078,17,65,0.99294,3.33,0.6,10.5,6
6.9,0.84,0.21,4.1,0.074,16,65,0.99842,3.53,0.72,9.233333333,6
6.9,0.84,0.21,4.1,0.074,16,65,0.99842,3.53,0.72,9.25,6
6.1,0.32,0.25,2.3,0.071,23,58,0.99633,3.42,0.97,10.6,5
6.5,0.53,0.06,2,0.063,29,44,0.99489,3.38,0.83,10.3,6
7.4,0.47,0.46,2.2,0.114,7,20,0.99647,3.32,0.63,10.5,5
6.6,0.7,0.08,2.6,0.106,14,27,0.99665,3.44,0.58,10.2,5
6.5,0.53,0.06,2,0.063,29,44,0.99489,3.38,0.83,10.3,6
6.9,0.48,0.2,1.9,0.082,9,23,0.99585,3.39,0.43,9.05,4
6.1,0.32,0.25,2.3,0.071,23,58,0.99633,3.42,0.97,10.6,5
6.8,0.48,0.25,2,0.076,29,61,0.9953,3.34,0.6,10.4,5
6,0.42,0.19,2,0.075,22,47,0.99522,3.39,0.78,10,6
6.7,0.48,0.08,2.1,0.064,18,34,0.99552,3.33,0.64,9.7,5
6.8,0.47,0.08,2.2,0.064,18,38,0.99553,3.3,0.65,9.6,6
7.1,0.53,0.07,1.7,0.071,15,24,0.9951,3.29,0.66,10.8,6
7.9,0.29,0.49,2.2,0.096,21,59,0.99714,3.31,0.67,10.1,6
7.1,0.69,0.08,2.1,0.063,42,52,0.99608,3.42,0.6,10.2,6
6.6,0.44,0.09,2.2,0.063,9,18,0.99444,3.42,0.69,11.3,6
6.1,0.705,0.1,2.8,0.081,13,28,0.99631,3.6,0.66,10.2,5
7.2,0.53,0.13,2,0.058,18,22,0.99573,3.21,0.68,9.9,6
8,0.39,0.3,1.9,0.074,32,84,0.99717,3.39,0.61,9,5
6.6,0.56,0.14,2.4,0.064,13,29,0.99397,3.42,0.62,11.7,7
7,0.55,0.13,2.2,0.075,15,35,0.9959,3.36,0.59,9.7,6
6.1,0.53,0.08,1.9,0.077,24,45,0.99528,3.6,0.68,10.3,6
5.4,0.58,0.08,1.9,0.059,20,31,0.99484,3.5,0.64,10.2,6
6.2,0.64,0.09,2.5,0.081,15,26,0.99538,3.57,0.63,12,5
7.2,0.39,0.32,1.8,0.065,34,60,0.99714,3.46,0.78,9.9,5
6.2,0.52,0.08,4.4,0.071,11,32,0.99646,3.56,0.63,11.6,6
7.4,0.25,0.29,2.2,0.054,19,49,0.99666,3.4,0.76,10.9,7
6.7,0.855,0.02,1.9,0.064,29,38,0.99472,3.3,0.56,10.75,6
11.1,0.44,0.42,2.2,0.064,14,19,0.99758,3.25,0.57,10.4,6
8.4,0.37,0.43,2.3,0.063,12,19,0.9955,3.17,0.81,11.2,7
6.5,0.63,0.33,1.8,0.059,16,28,0.99531,3.36,0.64,10.1,6
7,0.57,0.02,2,0.072,17,26,0.99575,3.36,0.61,10.2,5
6.3,0.6,0.1,1.6,0.048,12,26,0.99306,3.55,0.51,12.1,5
11.2,0.4,0.5,2,0.099,19,50,0.99783,3.1,0.58,10.4,5
7.4,0.36,0.3,1.8,0.074,17,24,0.99419,3.24,0.7,11.4,8
7.1,0.68,0,2.3,0.087,17,26,0.99783,3.45,0.53,9.5,5
7.1,0.67,0,2.3,0.083,18,27,0.99768,3.44,0.54,9.4,5
6.3,0.68,0.01,3.7,0.103,32,54,0.99586,3.51,0.66,11.3,6
7.3,0.735,0,2.2,0.08,18,28,0.99765,3.41,0.6,9.4,5
6.6,0.855,0.02,2.4,0.062,15,23,0.99627,3.54,0.6,11,6
7,0.56,0.17,1.7,0.065,15,24,0.99514,3.44,0.68,10.55,7
6.6,0.88,0.04,2.2,0.066,12,20,0.99636,3.53,0.56,9.9,5
6.6,0.855,0.02,2.4,0.062,15,23,0.99627,3.54,0.6,11,6
6.9,0.63,0.33,6.7,0.235,66,115,0.99787,3.22,0.56,9.5,5
7.8,0.6,0.26,2,0.08,31,131,0.99622,3.21,0.52,9.9,5
7.8,0.6,0.26,2,0.08,31,131,0.99622,3.21,0.52,9.9,5
7.8,0.6,0.26,2,0.08,31,131,0.99622,3.21,0.52,9.9,5
7.2,0.695,0.13,2,0.076,12,20,0.99546,3.29,0.54,10.1,5
7.2,0.695,0.13,2,0.076,12,20,0.99546,3.29,0.54,10.1,5
7.2,0.695,0.13,2,0.076,12,20,0.99546,3.29,0.54,10.1,5
6.7,0.67,0.02,1.9,0.061,26,42,0.99489,3.39,0.82,10.9,6
6.7,0.16,0.64,2.1,0.059,24,52,0.99494,3.34,0.71,11.2,6
7.2,0.695,0.13,2,0.076,12,20,0.99546,3.29,0.54,10.1,5
7,0.56,0.13,1.6,0.077,25,42,0.99629,3.34,0.59,9.2,5
6.2,0.51,0.14,1.9,0.056,15,34,0.99396,3.48,0.57,11.5,6
6.4,0.36,0.53,2.2,0.23,19,35,0.9934,3.37,0.93,12.4,6
6.4,0.38,0.14,2.2,0.038,15,25,0.99514,3.44,0.65,11.1,6
7.3,0.69,0.32,2.2,0.069,35,104,0.99632,3.33,0.51,9.5,5
6,0.58,0.2,2.4,0.075,15,50,0.99467,3.58,0.67,12.5,6
5.6,0.31,0.78,13.9,0.074,23,92,0.99677,3.39,0.48,10.5,6
7.5,0.52,0.4,2.2,0.06,12,20,0.99474,3.26,0.64,11.8,6
8,0.3,0.63,1.6,0.081,16,29,0.99588,3.3,0.78,10.8,6
6.2,0.7,0.15,5.1,0.076,13,27,0.99622,3.54,0.6,11.9,6
6.8,0.67,0.15,1.8,0.118,13,20,0.9954,3.42,0.67,11.3,6
6.2,0.56,0.09,1.7,0.053,24,32,0.99402,3.54,0.6,11.3,5
7.4,0.35,0.33,2.4,0.068,9,26,0.9947,3.36,0.6,11.9,6
6.2,0.56,0.09,1.7,0.053,24,32,0.99402,3.54,0.6,11.3,5
6.1,0.715,0.1,2.6,0.053,13,27,0.99362,3.57,0.5,11.9,5
6.2,0.46,0.29,2.1,0.074,32,98,0.99578,3.33,0.62,9.8,5
6.7,0.32,0.44,2.4,0.061,24,34,0.99484,3.29,0.8,11.6,7
7.2,0.39,0.44,2.6,0.066,22,48,0.99494,3.3,0.84,11.5,6
7.5,0.31,0.41,2.4,0.065,34,60,0.99492,3.34,0.85,11.4,6
5.8,0.61,0.11,1.8,0.066,18,28,0.99483,3.55,0.66,10.9,6
7.2,0.66,0.33,2.5,0.068,34,102,0.99414,3.27,0.78,12.8,6
6.6,0.725,0.2,7.8,0.073,29,79,0.9977,3.29,0.54,9.2,5
6.3,0.55,0.15,1.8,0.077,26,35,0.99314,3.32,0.82,11.6,6
5.4,0.74,0.09,1.7,0.089,16,26,0.99402,3.67,0.56,11.6,6
6.3,0.51,0.13,2.3,0.076,29,40,0.99574,3.42,0.75,11,6
6.8,0.62,0.08,1.9,0.068,28,38,0.99651,3.42,0.82,9.5,6
6.2,0.6,0.08,2,0.09,32,44,0.9949,3.45,0.58,10.5,5
5.9,0.55,0.1,2.2,0.062,39,51,0.99512,3.52,0.76,11.2,6
6.3,0.51,0.13,2.3,0.076,29,40,0.99574,3.42,0.75,11,6
5.9,0.645,0.12,2,0.075,32,44,0.99547,3.57,0.71,10.2,5
6,0.31,0.47,3.6,0.067,18,42,0.99549,3.39,0.66,11,6
6.9,0.4,0.14,2.4,0.085,21,40,0.9968,3.43,0.63,9.7,6
7.754829369,0.369785361,0.320107319,2.4,0.075010732,10.01073193,46.50536597,0.996093873,3.339248765,0.676448811,10.20858554,6
8.126354357,0.476871674,0.161083486,1.926354357,0.080527087,11.57881881,49.42118119,0.996650122,3.382635436,0.557906307,10.02635436,6
6.81496639,0.606734876,0.172516805,1.892516805,0.080346975,18.2993278,86.22449585,0.996732651,3.571292012,0.567755041,9.292516805,6
10.94705725,0.292353018,0.532941008,1.923529559,0.074941176,16.70588052,58.23528311,0.99787647,3.175294213,0.58,9.823529559,6
7.2,0.63,0,1.9,0.097,14,38,0.99675,3.37,0.58,9,6
6.9,0.54,0.04,3,0.077,7,27,0.9987,3.69,0.91,9.4,6
11.5,0.18,0.51,4,0.104,4,23,0.9996,3.28,0.97,10.1,6
10.4,0.55,0.23,2.7,0.091,18,48,0.9994,3.22,0.64,10.3,6
9.912162976,0.50976333,0.189020372,10.12162976,0.073195926,12.89020372,49.78040744,1.001212334,3.176469442,0.673530558,9.232938884,6
10.2,0.36,0.64,2.9,0.122,10,41,0.998,3.23,0.66,12.5,6
8.234359791,0.393019988,0.442603998,1.9,0.086021611,6,15.26039977,0.99539168,3.313019988,0.655623986,11.68643974,6
8.3,0.42,0.38,2.5,0.094,24,60,0.9979,3.31,0.7,10.8,6
12.02949235,0.44589847,0.543410153,2.480644645,0.083294924,18.6589847,63.3179694,0.999658985,3.110230459,0.604884771,10.38064465,6
9.199440288,0.689832086,0.235027986,2.125419784,0.084513993,6.375699641,31.62430036,0.99834916,3.263756996,0.575027986,10.11159047,6
10.92459114,0.327928527,0.468316167,1.735917604,0.066624469,16.11326467,36.77347066,0.998601938,3.20640824,0.760745006,10.09061174,6
7.200305532,0.635106936,0.046169798,2.960170319,0.06938302,30.62614574,91.87538191,0.995602676,3.33495417,0.663799649,11.22461809,6
13.0431626,0.379137127,0.485755014,3.114387535,0.092899268,16.87769648,53,1.001143163,3.051223035,0.798992683,9.683455283,6
12.21249298,0.322504212,0.507501404,2.779140929,0.07724986,27.12492981,46.87507019,0.999416676,3.170830994,0.788332397,10.22916901,6
9.353525102,0.432441532,0.392529021,2.114706383,0.146282519,12.27645956,41.96466379,0.997184116,3.263059064,0.584294128,10.01470638,6
9.4,0.5,0.34,3.6,0.082,5,14,0.9987,3.29,0.52,10.7,6
12.9,0.5,0.55,2.8,0.072,7,24,1.00012,3.09,0.68,10.9,6
8.12699384,0.513255364,0.236269174,3.07461653,0.085166794,30.42062885,69.42062885,0.997440959,3.30412577,0.537856597,9.789685575,6
8.421987354,0.393622252,0.328794942,2.140662451,0.091164197,3,6.296687744,0.994947921,3.255165613,0.643298103,11.69231858,6
7.7,0.6,0.06,2,0.079,19,41,0.99697,3.39,0.62,10.1,6
7.254169285,0.34,0.218667086,2.467498429,0.074024953,41.10833857,68.32501571,0.995763579,3.3624163,0.554625707,10.20292164,6
6.875344831,0.442876436,0.005341953,1.436982753,0.070246552,31.87672416,38.0821839,0.994435885,3.324109195,0.586985631,11.38356322,6
7.982213718,0.589183201,0.299038171,2,0.083384732,8.629771366,78.45190855,0.996961832,3.246152684,0.670816799,9.390381709,6
7.384839436,0.423935774,0.209169155,2.262098589,0.095476662,33,74.07580282,0.996199272,3.293717325,0.603104929,9.823469012,6
7.533739681,0.538804233,0.14898709,2.011043387,0.073116529,8,24.55521693,0.99666626,3.367699895,0.678895661,9.989261374,6
12.26262845,0.385180406,0.499639187,2.259020321,0.099760334,7.518040642,20,0.999392784,3.151933091,0.791082439,10.34819594,6
7.301255585,0.571687593,0.063500745,2.266248138,0.084543945,16.16875931,36,0.995430738,3.356373697,0.588186848,10.45188338,6
7.320037274,0.57750233,0.092013046,2.360018637,0.082050326,16,36.15004659,0.995874073,3.369496739,0.596999068,10.36001864,6
5.222848504,0.457201089,0.01318355,1.854684005,0.051661083,26.1591775,59.68164499,0.991502178,3.685674025,0.708613849,13.79306925,6
7.134447071,0.666951931,0.040334121,1.823173102,0.105356974,3.192067244,9.807932756,0.99601812,3.313507224,0.588475965,9.719206724,6
7.386755481,0.416986678,0.142648904,2.688577574,0.087753331,28.7168887,53.2831113,0.996388578,3.37,0.683013322,10.32831113,6
6.445242488,0.494883368,0.105116632,2.322621244,0.079059238,19,40.77378756,0.994152432,3.453509818,0.62517956,12.2517956,6
7.435972876,0.416402712,0.262662146,2.228054249,0.078,27.90648584,66.54675708,0.996761011,3.532013562,0.59,10.37481133,6
8.2,0.24,0.34,5.1,0.062,8,22,0.9974,3.22,0.94,10.9,6
6.770953932,0.363229719,0.457413371,2.1,0.073177385,16.72579494,24.72579494,0.996938982,3.42935691,0.733710253,10.73710253,6
9.349797932,0.47658397,0.359561443,2.015637629,0.069603577,14.68724741,43.42527314,0.997182827,3.302619743,0.606982113,10.03127526,6
6.900029737,0.83997175,0.209973237,4.09931606,0.074011895,15.99970263,64.99970263,0.998419245,3.529907817,0.719961343,9.233412631,6
6.540623072,0.713133869,0.036560765,1.843738431,0.056468538,9,17.40623072,0.994576567,3.467501542,0.654373843,11.06249229,6
7.058262585,0.577478776,0.136984535,1.602895691,0.065,15,23.41737415,0.995035127,3.430289569,0.63921619,10.44318526,7
7.661143339,0.586799916,0.009028583,1.741715009,0.085765742,12.29142496,18.29142496,0.995575087,3.326799916,0.551257251,10.45142917,7
8.050692229,0.458914705,0.293452417,1.950692229,0.063635105,12.95265756,19.63510504,0.995214203,3.239861554,0.702032143,10.81893698,7
7.8,0.58,0.02,2,0.073,9,18,0.9968,3.36,0.57,9.5,7
7.70516239,0.58,0.010516239,1.810324781,0.087225641,11.84512829,18,0.995737819,3.322064956,0.560516239,10.4483761,7
7.44403316,0.34399799,0.393605225,1.73600201,0.079840382,29.88016078,103.9599699,0.995556042,3.376797588,0.708401306,11.04398292,7
7.351001782,0.349636256,0.378945735,1.730363744,0.078769111,29.42909955,104.0445438,0.995437639,3.383563507,0.704736434,11.09190817,7
6.72822989,0.28,0.284391316,2.390590037,0.013254662,35.98431673,100.0470498,0.990738177,3.260627331,0.395645978,11.68118007,7
7.875437153,0.455789961,0.201403003,1.847366797,0.065719296,13.56140712,27.47366797,0.996182452,3.274912569,0.657017075,9.784211068,7
8.1,0.38,0.28,2.1,0.066,13,30,0.9968,3.23,0.73,9.7,7
9.492569746,0.352624141,0.407078649,2.457919529,0.085,13.5940558,33.4059442,0.99907153,3.364059442,0.763465022,10.2970279,7
7.40276569,0.583202301,0.082212552,1.559679916,0.075276569,13.45851464,28.19359833,0.995730423,3.384861715,0.547074268,9.743085774,7
7.497390836,0.523000538,0.158434502,1.913045818,0.084869542,12.10436654,34.94781673,0.996814611,3.385218327,0.621826414,9.533919126,7
8,0.59,0.16,1.8,0.065,3,16,0.9962,3.42,0.92,10.5,7
8.167571281,0.486105805,0.223677087,1.766485744,0.06365943,4.005427689,15.66485744,0.995878263,3.379782892,0.859674339,10.93568533,7
7.578981357,0.626087312,0.063767167,1.439126878,0.065,10.21746245,19.00727602,0.995237672,3.401956344,0.649345158,10.1992724,7
5.4,0.835,0.08,1.2,0.046,13,93,0.9924,3.57,0.85,13,7
5.319164202,0.539949338,0.104250739,2.008357979,0.047616716,15.42507394,89.76656809,0.991931152,3.545749261,0.874250739,13.45806952,7
9.49728484,0.334737392,0.44901038,1.391068247,0.056401929,9.267952591,23.8660237,0.996845052,3.22759199,0.804369432,10.28660237,7
9.16096285,0.302438514,0.417315542,1.92684458,0.066536892,9.8780743,24,0.995439712,3.263903715,0.846342229,11.52930402,7
12.8,0.3,0.74,2.6,0.095,9,28,0.9994,3.2,0.77,10.8,7
12.77714515,0.301454399,0.736924984,2.594182403,0.094875337,9.024932561,27.97091201,0.999380054,3.200789531,0.768753372,10.79667566,7
12.8,0.3,0.74,2.6,0.095,9,28,0.9994,3.2,0.77,10.8,7
12.8,0.3,0.74,2.6,0.095,9,28,0.9994,3.2,0.77,10.8,7
10.47510081,0.308610738,0.404181228,1.738926226,0.077778525,9,28,0.997092322,3.234442951,0.821664426,11.14442951,7
10.58325701,0.258325701,0.496651401,1.891628503,0.068586005,6.305428343,20.38914331,0.997722171,3.268325701,0.977240032,10.7083715,7
10.73584958,0.273584958,0.527169917,1.967924792,0.063245265,6.559749308,19.88050138,0.9978239,3.283584958,0.941635097,10.63207521,7
5.104809443,0.508557167,0.173266779,2.075952783,0.042577133,16.1442833,101.2404722,0.992414428,3.463847555,0.857976391,12.8663339,7
5.129946698,0.501015991,0.138074623,1.950266511,0.045593604,16.89840094,102.4973349,0.99248984,3.483957358,0.795133255,12.69037311,7
13.56551827,0.24347124,0.463908029,2.056551827,0.074521839,10,22.56551827,0.998878507,3.026965548,0.753931096,9.534712404,7
12.91445924,0.258662618,0.474759013,1.991445924,0.07430482,10,21.91445924,0.998346808,3.007433777,0.714867554,9.686626177,7
15,0.21,0.44,2.2,0.075,10,24,1.00005,3.07,0.84,9.2,7
13.52516432,0.244412832,0.464580595,2.052516432,0.074508388,10,22.52516432,0.998845551,3.02575493,0.751509859,9.544128324,7
12.21638853,0.274950934,0.486393525,1.921638853,0.07407213,10,21.21638853,0.997776717,2.986491656,0.672983312,9.849509344,7
7.584363555,0.611954556,0.126236352,2.414181812,0.080354545,15.85818188,33,0.997522382,3.564400007,0.697799997,10.77872728,7
7.915502126,0.572492325,0.107142963,1.51914925,0.069559275,14.77203625,23.735565,0.995751217,3.383161087,0.545228038,10.11398188,7
10.66615121,0.357187039,0.47140648,2.042967598,0.097726436,6,10,0.996670417,3.13520864,0.66330756,11.49582719,7
11.14431558,0.316201521,0.491899239,1.940503804,0.086455418,6,10,0.996725065,3.162532319,0.687215779,10.94935362,7
11.8,0.26,0.52,1.8,0.071,6,10,0.9968,3.2,0.72,10.2,7
8.9,0.4,0.32,5.6,0.087,10,47,0.9991,3.38,0.77,10.5,7
8.492523343,0.463668228,0.238504669,4.479439194,0.081397196,11.27336455,40.37850433,0.997953972,3.382546729,0.693598127,10.37266354,7
7.999804991,0.293984399,0.512109205,2.720507024,0.178117005,5.599609982,10,0.996096718,3.285976599,0.840156007,10.67949298,7
7.816945089,0.310930781,0.492887858,2.56443929,0.186675445,5,10,0.995439976,3.261694509,0.76424826,10.66014308,7
7.626319126,0.339996831,0.554742514,3.076334973,0.30402876,6.842021857,12.02622404,0.996721074,3.275788306,0.967636667,9.918420219,7
8.438137132,0.472166073,0.227627426,4.329877113,0.080649386,11.44332146,39.4947284,0.997801011,3.382886643,0.683400712,10.35566785,7
7.859906019,0.562514685,0.111981204,2.739741553,0.072698708,13.25029369,30.09847281,0.996174736,3.386500587,0.574982379,10.17497063,7
8.7,0.52,0.09,2.5,0.091,20,49,0.9976,3.34,0.86,10.6,7
8.7,0.52,0.09,2.5,0.091,20,49,0.9976,3.34,0.86,10.6,7
9.174575585,0.446177131,0.206007365,2.5,0.093636531,17.89077518,49,0.997916384,3.260904069,0.775631007,10.28361628,7
8.7,0.52,0.09,2.5,0.091,20,49,0.9976,3.34,0.86,10.6,7
9.309984147,0.449993206,0.39,2.219968294,0.066899479,21,56.19990941,0.996134911,3.236995697,0.787002491,11.14998868,7
8.283754931,0.65393502,0.153465769,1.987003945,0.072083036,17.36101183,35.95307495,0.996292058,3.382129961,0.564440473,10.59025296,7
9.079499596,0.657117998,0.277601937,2.623599677,0.077812397,19.27079903,48.04839387,0.997660739,3.375764003,0.640831961,11.06769976,7
8.993878394,0.616029731,0.368014865,2.980148653,0.084648885,21.36641891,58.26716218,0.998132352,3.445115877,0.697175338,11.64656756,7
6.762889938,0.494339451,0.307169726,2.371697256,0.089212271,22.38050457,56.23899085,0.996007843,3.653003438,0.66168234,12.05220183,7
9.445068915,0.507886678,0.39,2.490137829,0.071337979,21,56.97182237,0.996897175,3.273661563,0.765774885,11.2464778,7
11.24330688,0.523514671,0.653514671,3.244666914,0.116460269,6,14.32426647,0.997637867,3.062970659,0.714058682,11.59727994,7
11.50513542,0.539486458,0.70743229,4.361484346,0.123845937,6,14.94864579,0.998369187,3.012054168,0.825378121,11.78459374,7
8.700525072,0.467022841,0.261593594,1.928196377,0.065992124,18.14360725,37.42819638,0.995545219,3.24851142,0.825770543,11.35691783,7
8.410530377,0.533307342,0.170452404,2.135335445,0.070342044,17.72932911,37.63533545,0.995818643,3.281653671,0.794699683,11.48120127,7
11.41403964,0.622105946,0.498555506,2.999797351,0.111706035,7,20.71414097,0.998188059,3.161424229,0.825707048,11.88555506,7
11.48806373,0.570045998,0.510776307,2.960601312,0.113444918,6.72537582,21,0.998760601,3.191969934,0.889432352,11.81552615,7
12.5,0.28,0.54,2.3,0.082,12,29,0.9997,3.11,1.36,9.8,7
12.63692569,0.289128379,0.631283794,2.436925692,0.087933447,10.63074308,28.54358103,0.999563074,3.151077707,1.090712806,10.25641897,7
11.01120731,0.384215488,0.629327561,2.783857624,0.107309476,12,29,0.99769013,3.206771525,0.905918229,11.21435306,7
6.705265653,0.790187382,0.01699241,2.474430743,0.070947343,16.69924099,32.04506644,0.995364658,3.551427894,0.826840608,11.95412714,7
7.097502153,0.573033044,0.146636912,2.383407721,0.067477253,17.45227468,34,0.995364318,3.444317595,0.894522747,11.84772532,7
6.856920525,0.757192882,0.045692053,2.603654803,0.074569205,16.67884934,33.67884934,0.99609734,3.58,0.825769869,11.81827401,7
10.9008086,0.411983828,0.66,2.963360287,0.109854268,12,29.26720573,0.997694735,3.223967656,0.717935312,11.45951484,7
10.5,0.42,0.66,2.95,0.116,12,29,0.997,3.24,0.75,11.7,7
11.97478292,0.317825626,0.532869042,2.202605004,0.082825979,10,21.50434167,0.99820521,3.022869042,0.707912459,10.02608542,7
7.847171977,0.623830905,0.078507284,1.426005817,0.070233819,14.40524785,21.23790086,0.995242332,3.361451897,0.515201163,10.04758017,7
9.318454784,0.553465206,0.289604382,2.033709585,0.084306959,12.80602741,21.87758904,0.99696949,3.284689316,0.636741917,10.17551781,7
12.50906397,0.525900842,0.696367003,5.218127948,0.076817609,7,40.54531987,1.001545394,3.124550505,0.682722896,11.0910101,7
9.185950217,0.637998499,0.226314026,2.777340182,0.071172201,12.25679968,28.20090083,0.99720604,3.280271987,0.55915401,10,7
12.51227459,0.61683098,0.62547295,5.559356926,0.082058353,7.418509694,40.90141205,1.001802416,3.086740388,0.716398435,10,7
12.8,0.615,0.66,5.8,0.083,7,42,1.0022,3.07,0.73,10,7
9.4,0.27,0.53,2.4,0.074,6,18,0.9962,3.2,1.13,12,7
9.4,0.27,0.53,2.4,0.074,6,18,0.9962,3.2,1.13,12,7
9.35615848,0.272922768,0.520501004,2.42922768,0.076557422,6.073069201,17.8538616,0.996195616,3.208037612,1.105156472,11.98538616,7
11.24416654,0.532324996,0.692091658,3.888333078,0.119650831,6,15,0.998118583,3.030466677,0.786508312,11.8,7
11.09958523,0.527987557,0.681970966,3.599170469,0.117192949,6,15,0.997959544,3.042033181,0.76192949,11.8,7
9.4,0.27,0.53,2.4,0.074,6,18,0.9962,3.2,1.13,12,7
9.4,0.27,0.53,2.4,0.074,6,18,0.9962,3.2,1.13,12,7
8.489705222,0.434720007,0.300258937,1.879831556,0.070098737,9.901263333,19.30042111,0.995506442,3.282360004,0.843907356,11.13305259,7
8.5221706,0.287614623,0.333096344,2.5,0.078292803,16,47.46024371,0.996460075,3.35167441,0.761590251,11.00084159,7
8.728297965,0.482330239,0.192509726,2.00729885,0.084250973,15.62099912,38.38797523,0.996835597,3.265800177,0.612829797,10,7
12.1855509,0.426824964,0.736806137,4.571101806,0.069942957,7,38.92775451,1.00081749,3.185209206,0.630152022,12.30418411,7
12,0.37,0.76,4.2,0.066,7,38,1.0004,3.22,0.6,13,7
12,0.39,0.66,3,0.093,12,30,0.9996,3.18,0.63,10.8,7
10.25963751,0.486275372,0.415608671,2.333478195,0.082631883,13.11086968,26.66739097,0.997748551,3.257760877,0.570753617,10.50376809,7
12.19008708,0.348180842,0.6143791,2.733878085,0.088818084,12,29.61982584,0.999638017,3.153387808,0.90752714,10.41982584,7
9.580798206,0.317007533,0.53,3.954864569,0.082316717,6,18.36159641,0.997067831,3.225311749,1.017905112,11.89152108,7
9.9,0.293020397,0.497083199,5.301035958,0.0846562,8.468760075,17.35415995,0.995505821,3.204166398,0.573123993,12.35833602,7
9.849057526,0.386754957,0.53,6.261894724,0.094656646,6,18.89811505,0.998355476,3.262868054,0.851584334,11.73056548,7
10.21755708,0.477993477,0.405172646,2.536677538,0.086266449,35,67,0.998225082,3.293667754,0.794921831,11.45830615,7
9.5,0.56,0.33,2.4,0.089,35,67,0.9972,3.28,0.73,11.8,7
6.6,0.84,0.03,2.3,0.059,32,48,0.9952,3.52,0.56,12.3,7
7.030609952,0.702743078,0.126887239,2.353826244,0.063036968,31.19260634,48,0.99522153,3.466173756,0.64612199,12.32691312,7
10.5,0.256864818,0.47,1.931351824,0.076118891,6,24,0.997631352,3.175297226,1.018053723,10.91567591,7
10.5,0.24,0.47,2.1,0.066,6,24,0.9978,3.15,0.9,11,7
10.5,0.24,0.47,2.1,0.066,6,24,0.9978,3.15,0.9,11,7
7.934757779,0.414545958,0.3303205,2.466844722,0.071513354,29.49732916,48,0.995266738,3.353155278,0.826951556,12.38342236,7
6.6,0.84,0.03,2.3,0.059,32,48,0.9952,3.52,0.56,12.3,7
10.5,0.24,0.47,2.1,0.066,6,24,0.9978,3.15,0.9,11,7
7.972564268,0.563827703,0.098782877,1.3891587,0.065210176,13.108413,21.630529,0.995272564,3.33955768,0.560375824,10.21017633,7
15.20812241,0.650710711,0.76,3.754427443,0.096298934,6.108854886,42.45572557,1.002895206,2.979390819,0.671291609,11.39593879,7
15.0279487,0.634945511,0.76,3.77945157,0.094597293,6.158903139,42.2054843,1.002755071,2.992903848,0.667287749,11.48602565,7
9.170788307,0.369835934,0.419835934,3.082713089,0.068070028,10.36214485,19,0.995266675,3.27464986,0.693785515,11.85514206,7
9.311809374,0.40989166,0.464192852,2.527952343,0.070978332,11.43011914,19,0.995955905,3.204192852,0.707421445,11.42795234,7
6.811369391,0.78725935,0.079271097,2.014868623,0.110046615,6.259474493,24.48105101,0.995289212,3.431457806,0.720349923,11.05160433,7
5.3,0.57,0.01,1.7,0.054,5,27,0.9934,3.57,0.84,12.5,7
10.45505719,0.280448527,0.514379896,2.249428075,0.080145997,5.550571925,22,0.998588742,3.232471404,0.910677297,10.97977123,7
8.132296974,0.564085474,0.169144224,1.629572632,0.070101175,12.31517105,21.26848289,0.995996111,3.355097224,0.542490382,10.32217947,7
10.41938372,0.312554656,0.589294196,2.606162839,0.08264314,5.193837161,22,0.999373558,3.250308142,0.80008952,11.12246514,7
